ticker,horizon_s,model,r2_os_pooled,r2_os_fold_mean,r2_os_fold_min,r2_os_fold_max,pred_target_corr,frac_pred_gt_half_spread,n_bins,median_spread_bps
INTC,60,ofi_only,-0.07449277862033132,0.001100109049866238,-0.006188117036502794,0.0038363299562087505,0.024592171011473606,0.2646198129047733,22740,3.7085110328209017
AMZN,1,full,-0.006950952764399609,-0.0034675162662318637,-0.054158528459444355,0.01761062515318823,0.09497216088166806,0.0011513552410650036,22740,5.423973964925174
AMZN,1,ofi_only,-0.0164745043550949,-0.013515881831400319,-0.11968585172873758,0.00708026201887213,0.06292057842454378,0.0005756776205325018,22740,5.423973964925174
AMZN,2,full,-0.006582216183252054,-0.0027961906635665516,-0.07441321412011259,0.023977677428386857,0.09000081142588949,0.0016790597265531303,22740,5.423973964925174
AMZN,2,ofi_only,-0.026413583899324244,-0.021504694015890623,-0.16788257981195853,0.013042714204455241,0.06394751067569257,0.0005277044854881266,22740,5.423973964925174
AMZN,5,full,-0.022389807591878697,-0.014384772263449242,-0.0900235674518739,0.015224695186854431,0.06296064915269381,0.0027344686975293835,22740,5.423973964925174
AMZN,5,ofi_only,-0.03921330303622894,-0.02980364308137874,-0.2264360334152109,0.009851744339912982,0.057014681043155206,0.0006716238906212521,22740,5.423973964925174
AMZN,10,full,-0.03488181289391368,-0.022094824789852183,-0.122866430261521,0.013564146424529855,0.04528598638641369,0.005420964260014392,22740,5.423973964925174
AMZN,10,ofi_only,-0.05576355399574906,-0.04063339281145218,-0.3369226273264474,0.008388969832558657,0.03735707912140636,0.0016790597265531303,22740,5.423973964925174
AMZN,30,full,-0.06884651889730664,-0.03858662809708102,-0.2041685753735918,0.0018525289332892436,-0.015132578263060142,0.03559606620292636,22740,5.423973964925174
AMZN,30,ofi_only,-0.08920698362790569,-0.05539677662886323,-0.5899586504523728,0.004298944041833286,0.015870692425681076,0.010314224034540657,22740,5.423973964925174
AMZN,60,full,-0.10004523822108013,-0.049250055299921,-0.2430871058617441,0.005967143804927133,-0.028758930829387463,0.13749100503717918,22740,5.423973964925174
AMZN,60,ofi_only,-0.12450178845342497,-0.06355202903940543,-0.6771574875557209,0.001256040559073135,-0.01218390629955937,0.05804749340369393,22740,5.423973964925174
